PC,coef,abs_coef,explained_variance
PC15,-0.5702147426505563,0.5702147426505563,0.011303449345313564
PC14,0.32728595593171234,0.32728595593171234,0.012968940772406679
PC13,-0.09286095558860236,0.09286095558860236,0.01366892071337124
PC9,-0.08145926959658886,0.08145926959658886,0.01997210199851599
PC10,-0.0678692295112393,0.0678692295112393,0.019235431889727095
PC8,-0.053527264904483854,0.053527264904483854,0.024622414709644026
PC5,0.050880814334056744,0.050880814334056744,0.044786498180717664
PC4,0.045311100608329866,0.045311100608329866,0.05485249609620266
PC3,0.04111537259355281,0.04111537259355281,0.06715299405154113
PC12,0.034631322741217975,0.034631322741217975,0.018182538535894875
PC11,-0.025581411364926424,0.025581411364926424,0.019156597318462632
PC2,0.018282386627936128,0.018282386627936128,0.08052969859179762
PC6,0.009808821881041381,0.009808821881041381,0.039531054792442184
PC1,0.004406906903045359,0.004406906903045359,0.2592339216792549
PC7,0.00015387904683497356,0.00015387904683497356,0.030981950838813707
